Wall time,Step,Value
1597806251.895491,158400,2.299999952316284
1597806961.813845,316800,12.600000381469727
1597807723.948009,475200,19.899999618530273
1597808450.90294,633600,22.399999618530273
1597809221.500937,792000,23.899999618530273
1597809948.299451,950400,22.600000381469727
1597810713.158258,1108800,25.100000381469727
1597811441.129748,1267200,24.200000762939453
1597812206.814348,1425600,25.100000381469727
1597812942.210553,1584000,23.799999237060547
1597813709.332364,1742400,24.0
1597814442.943439,1900800,24.299999237060547
1597815207.669571,2059200,24.899999618530273
1597815935.659281,2217600,25.600000381469727
1597816707.801755,2376000,25.600000381469727
1597817443.243652,2534400,24.899999618530273
1597818208.179882,2692800,24.399999618530273
1597818934.196806,2851200,23.700000762939453
1597819699.873051,3009600,23.0
1597820440.681508,3168000,24.399999618530273
1597821229.500499,3326400,25.0
1597821982.59345,3484800,24.299999237060547
1597822770.062326,3643200,25.5
1597823524.575125,3801600,24.899999618530273
1597824316.220275,3960000,25.700000762939453
1597825069.481977,4118400,25.399999618530273
1597825860.900567,4276800,25.600000381469727
1597826616.780389,4435200,24.200000762939453
1597827405.529499,4593600,23.700000762939453
1597828164.359293,4752000,25.700000762939453
1597828956.136461,4910400,25.0
1597829710.895198,5068800,24.299999237060547
1597830498.984254,5227200,24.899999618530273
1597831255.357779,5385600,25.100000381469727
1597832054.974788,5544000,24.799999237060547
1597832808.948612,5702400,25.899999618530273
1597833601.109971,5860800,24.399999618530273
1597834359.155475,6019200,24.5
1597835151.850338,6177600,23.799999237060547
1597835912.711666,6336000,26.600000381469727
1597836706.730668,6494400,26.399999618530273
1597837463.414343,6652800,26.299999237060547
1597838255.219056,6811200,25.399999618530273
1597839013.511672,6969600,23.799999237060547
1597839811.93286,7128000,26.0
1597840568.016109,7286400,24.399999618530273
1597841358.853455,7444800,24.0
1597842115.138256,7603200,24.399999618530273
1597842911.881779,7761600,23.899999618530273
1597843664.407345,7920000,24.600000381469727
1597844454.820875,8078400,23.899999618530273
1597845210.710751,8236800,25.0
1597846000.437519,8395200,25.899999618530273
1597846761.433868,8553600,24.299999237060547
1597847555.872554,8712000,25.100000381469727
1597848311.062345,8870400,25.0
1597849102.445234,9028800,25.700000762939453
1597849860.547867,9187200,24.399999618530273
1597850658.079378,9345600,24.399999618530273
1597851415.211287,9504000,24.299999237060547
1597852207.302032,9662400,25.100000381469727
1597852964.533894,9820800,24.0
1597853758.249058,9979200,24.0
