Wall time,Step,Value
1598010232.766106,237203,19.799999237060547
1598011399.060827,474020,22.799999237060547
1598012621.480357,711468,19.399999618530273
1598013789.494909,949066,25.100000381469727
1598015016.26363,1186665,27.399999618530273
1598016194.814549,1424262,30.700000762939453
1598017435.830371,1661861,31.5
1598018622.091234,1899459,34.900001525878906
1598019872.042751,2137059,30.700000762939453
1598021066.105352,2374659,36.79999923706055
1598022310.948059,2612259,31.600000381469727
1598023524.019555,2849859,35.0
1598024798.594394,3087459,34.599998474121094
1598026012.208823,3325059,35.900001525878906
1598027279.71835,3562659,36.20000076293945
1598028481.229741,3800259,35.599998474121094
1598029752.440743,4037859,34.20000076293945
1598030965.601496,4275458,36.70000076293945
1598032227.813364,4513058,37.20000076293945
1598033438.937687,4750658,38.29999923706055
1598034697.117007,4988258,38.79999923706055
1598035909.369865,5225858,37.900001525878906
1598037187.735042,5463458,36.900001525878906
1598038389.284508,5701058,37.599998474121094
1598039634.956924,5938658,39.099998474121094
1598040847.256491,6176258,37.099998474121094
1598042127.02065,6413858,38.79999923706055
1598043372.718761,6651458,35.29999923706055
1598044652.948398,6889058,38.20000076293945
1598045858.974671,7126658,41.0
1598047117.784044,7364258,35.79999923706055
1598048316.563421,7601858,39.29999923706055
1598049594.355229,7839458,38.79999923706055
1598050819.259376,8077058,40.5
1598052115.70286,8314657,39.099998474121094
1598053358.067747,8552257,39.29999923706055
1598054666.16742,8789857,35.599998474121094
1598055900.074457,9027457,41.599998474121094
1598057208.574367,9265057,40.400001525878906
1598058461.716815,9502657,36.099998474121094
1598059760.649185,9740257,41.79999923706055
1598061193.746084,9977765,39.400001525878906
