Wall time,Step,Value
1598025711.218258,594000,10.600000381469727
1598028774.865552,1188000,8.800000190734863
1598032162.441493,1782000,15.300000190734863
1598035279.884792,2376000,27.0
1598038704.205281,2970000,25.299999237060547
1598041820.148327,3564000,34.20000076293945
1598045209.373582,4158000,30.600000381469727
1598048345.661171,4752000,31.100000381469727
1598461706.49362,5346000,29.200000762939453
1598464882.440775,5940000,32.29999923706055
1598468313.586884,6534000,40.400001525878906
1598471458.807263,7128000,31.600000381469727
1598474915.381664,7722000,39.79999923706055
1598478045.273521,8316000,36.400001525878906
1598481548.583077,8910000,47.79999923706055
1598484705.545435,9504000,47.70000076293945
